1.0828 	WARNING 	Movie2 stim could not be imported and won't be available
371.3854 	DATA 	Clue Onset
372.9898 	DATA 	Read Onset
384.9934 	DATA 	Within fixation
387.6397 	DATA 	Rate onset
388.0944 	DATA 	Keypress: 2
388.0955 	DATA 	button press: 2
390.6443 	DATA 	Between_FIXATION
391.8619 	DATA 	Trial Onset: Article Nr. 63, Headline: Ask Well: Squats for Aging Knees, Abstract: The Phys Ed columnist Gretchen Reynolds responds to a reader who is concerned about her painful knees. condition Read
391.8732 	DATA 	Clue Onset
393.4366 	DATA 	Read Onset
401.4454 	DATA 	Within fixation
402.2899 	DATA 	Rate onset
403.8010 	DATA 	Keypress: 4
403.8131 	DATA 	button press: 4
405.2962 	DATA 	Between_FIXATION
407.6140 	DATA 	Trial Onset: Article Nr. 19, Headline: The Benefits of Middle-Age Fitness, Abstract: Even if you haven't previously bothered with exercise, getting fit in middle age appears to reshape the landscape of aging. condition Wall
407.6243 	DATA 	Clue Onset
409.2072 	DATA 	Read Onset
417.2138 	DATA 	Within fixation
419.8558 	DATA 	Rate onset
421.2821 	DATA 	Keypress: 3
421.2830 	DATA 	button press: 3
422.8647 	DATA 	Between_FIXATION
425.1823 	DATA 	Trial Onset: Article Nr. 62, Headline: Is There One Right Way to Run?, Abstract: A new study of barefoot tribespeople in Kenya raises tantalizing questions about just how humans really are meant to move. condition Content
425.1940 	DATA 	Clue Onset
426.7572 	DATA 	Read Onset
436.7660 	DATA 	Within fixation
438.0088 	DATA 	Rate onset
439.5717 	DATA 	Keypress: 1
439.5838 	DATA 	button press: 1
441.0191 	DATA 	Between_FIXATION
443.0343 	DATA 	Trial Onset: Article Nr. 41, Headline: Low Vitamin D Level Tied to Type 1 Diabetes, Abstract: Researchers found that subjects with low blood levels of vitamin D were more likely to develop diabetes than those with higher levels. condition Friend
443.0441 	DATA 	Clue Onset
444.6114 	DATA 	Read Onset
454.6181 	DATA 	Within fixation
455.4447 	DATA 	Rate onset
457.2528 	DATA 	Keypress: 2
457.2538 	DATA 	button press: 2
458.4520 	DATA 	Between_FIXATION
462.4750 	DATA 	Trial Onset: Article Nr. 60, Headline: An Unexpected Road Hazard: Obesity, Abstract: Obese drivers are more likely than normal weight drivers to die in car accidents, a new study finds. condition Content
462.4829 	DATA 	Clue Onset
464.0452 	DATA 	Read Onset
472.0539 	DATA 	Within fixation
475.0012 	DATA 	Rate onset
475.9044 	DATA 	Keypress: 1
475.9055 	DATA 	button press: 1
478.0066 	DATA 	Between_FIXATION
479.0241 	DATA 	Trial Onset: Article Nr. 30, Headline: Cholesterol Is Falling in Adults, Study Finds, Abstract: Changes in the amount of trans fats in the American diet may be forcing down cholesterol levels in adults, new research suggests. condition Friend
479.0340 	DATA 	Clue Onset
480.6053 	DATA 	Read Onset
490.6055 	DATA 	Within fixation
491.3458 	DATA 	Rate onset
493.1896 	DATA 	Keypress: 3
493.1907 	DATA 	button press: 3
494.3560 	DATA 	Between_FIXATION
496.9580 	DATA 	Trial Onset: Article Nr. 70, Headline: Really? Timing of Meals Affects Weight Loss, Abstract: Studies suggest that eating at later hours, especially main meals, can affect efforts to lose weight. condition Read
496.9682 	DATA 	Clue Onset
498.5422 	DATA 	Read Onset
506.5580 	DATA 	Within fixation
508.0032 	DATA 	Rate onset
509.2257 	DATA 	Keypress: 5
509.2267 	DATA 	button press: 5
511.0102 	DATA 	Between_FIXATION
513.1256 	DATA 	Trial Onset: Article Nr. 18, Headline: What's Your Workout? A Food Star's Fitness Plan, Abstract: The Food Network chef Robert Irvine manages to combine a fast-paced culinary career with a passion for fitness. condition Wall
513.1351 	DATA 	Clue Onset
514.7038 	DATA 	Read Onset
524.7093 	DATA 	Within fixation
526.8113 	DATA 	Keypress: 3
526.9385 	DATA 	Rate onset
527.3603 	DATA 	Keypress: 3
527.3612 	DATA 	button press: 3
529.9437 	DATA 	Between_FIXATION
531.1610 	DATA 	Trial Onset: Article Nr. 34, Headline: Curbing the Enthusiasm on Daily Multivitamins, Abstract: Experts are concerned about letting optimism about the potential benefits of nutritional supplements get ahead of the scientific evidence. condition Read
531.1703 	DATA 	Clue Onset
532.7459 	DATA 	Read Onset
542.7619 	DATA 	Within fixation
543.2994 	DATA 	Rate onset
544.0791 	DATA 	Keypress: 4
544.0801 	DATA 	button press: 4
546.3119 	DATA 	Between_FIXATION
547.5162 	DATA 	Trial Onset: Article Nr. 55, Headline: How to Go Vegan, Abstract: Vegan chefs, who agree that changing eating habits overnight can be challenging, offered advice for stocking a vegan pantry and finding replacements for dairy products. condition Content
547.5279 	DATA 	Clue Onset
549.0982 	DATA 	Read Onset
559.1133 	DATA 	Within fixation
559.6487 	DATA 	Rate onset
562.1307 	DATA 	Keypress: 4
562.1317 	DATA 	button press: 4
562.6639 	DATA 	Between_FIXATION
563.7818 	DATA 	Trial Onset: Article Nr. 4, Headline: The Unproven Claims of Fitness Products, Abstract: A review of 431 performance-enhancing claims for 104 sports devices, equipment, foods and drinks found not a single methodologically sound study that supported any of the claims. condition Friend
563.7915 	DATA 	Clue Onset
565.3841 	DATA 	Read Onset
577.3986 	DATA 	Within fixation
580.0394 	DATA 	Rate onset
581.4710 	DATA 	Keypress: 2
581.4720 	DATA 	button press: 2
583.0496 	DATA 	Between_FIXATION
584.0679 	DATA 	Trial Onset: Article Nr. 28, Headline: Do Exercise Programs Help Children Stay Fit?, Abstract: Exercise programs during or after school did little to make young people more active, a new study found. So how can we get children to move more? condition Wall
584.0761 	DATA 	Clue Onset
585.6638 	DATA 	Read Onset
597.6677 	DATA 	Within fixation
598.7052 	DATA 	Rate onset
599.7185 	DATA 	Keypress: 2
599.7195 	DATA 	button press: 2
601.7186 	DATA 	Between_FIXATION
604.8361 	DATA 	Trial Onset: Article Nr. 67, Headline: Malnourished Gain Lifesaver in Antibiotics, Abstract: Cheap antibiotics given with nutritional treatment could save tens of thousands of lives a year, researchers found. condition Wall
604.8452 	DATA 	Clue Onset
606.4248 	DATA 	Read Onset
614.4363 	DATA 	Within fixation
616.1777 	DATA 	Rate onset
618.3706 	DATA 	Keypress: 4
618.3716 	DATA 	button press: 4
619.1870 	DATA 	Between_FIXATION
620.9046 	DATA 	Trial Onset: Article Nr. 47, Headline: B.M.I. Can Predict Health Risks, Abstract: For certain health problems, body mass index, derived from the ratio of height to weight, is the best overall predictor, a new study says. condition Content
620.9134 	DATA 	Clue Onset
622.4829 	DATA 	Read Onset
632.4881 	DATA 	Within fixation
633.2196 	DATA 	Rate onset
636.2222 	DATA 	Between_FIXATION
636.3733 	DATA 	Keypress: 1
637.4397 	DATA 	Trial Onset: Article Nr. 66, Headline: Myths of Weight Loss Are Plentiful, Researcher Says, Abstract: A study tries to set the record straight on unproven assumptions that have been repeated so often that even scientists have tended to believe them. condition Friend
637.4496 	DATA 	Clue Onset
639.0472 	DATA 	Read Onset
651.0571 	DATA 	Within fixation
651.6948 	DATA 	Rate onset
653.2580 	DATA 	Keypress: 5
653.2590 	DATA 	button press: 5
654.7077 	DATA 	Between_FIXATION
656.9256 	DATA 	Trial Onset: Article Nr. 12, Headline: Binge Eating Among Men Steps Out of the Shadows, Abstract: Binge eating disorder, which affects about eight million Americans, is about as common in men as in women, but treatment has mainly focused on women. condition Read
656.9352 	DATA 	Clue Onset
658.5158 	DATA 	Read Onset
668.5288 	DATA 	Within fixation
670.7659 	DATA 	Rate onset
671.5100 	DATA 	Keypress: 4
671.5110 	DATA 	button press: 4
673.7765 	DATA 	Between_FIXATION
677.4822 	DATA 	Trial Onset: Article Nr. 22, Headline: Really?: Adding Milk to Tea Destroys its Antioxidants, Abstract: Researchers have been surprised to find that adding milk may strip tea of some of its beneficial effects. condition Friend
677.4898 	DATA 	Clue Onset
679.0502 	DATA 	Read Onset
687.0613 	DATA 	Within fixation
689.7832 	DATA 	Rate onset
690.1787 	DATA 	Keypress: 1
690.1798 	DATA 	button press: 1
692.7954 	DATA 	Between_FIXATION
694.1968 	DATA 	Trial Onset: Article Nr. 68, Headline: Gluten-Free, Whether You Need It or Not, Abstract: Avoiding gluten is a must for those with celiac disease, but many people are going gluten-free in a bid for a healthy diet. condition Read
694.2072 	DATA 	Clue Onset
695.7869 	DATA 	Read Onset
705.7965 	DATA 	Within fixation
706.9408 	DATA 	Rate onset
707.9190 	DATA 	Keypress: 2
707.9319 	DATA 	button press: 2
709.9484 	DATA 	Between_FIXATION
710.9648 	DATA 	Trial Onset: Article Nr. 39, Headline: Doubt on Soy and Fiber as Menopause Aid, Abstract: Researchers concluded that adding soy and fiber to the diet probably does not help prevent hot flashes and night sweats. condition Content
710.9746 	DATA 	Clue Onset
712.5509 	DATA 	Read Onset
722.5653 	DATA 	Within fixation
724.3098 	DATA 	Rate onset
725.2041 	DATA 	Keypress: 1
725.2165 	DATA 	button press: 1
727.3161 	DATA 	Between_FIXATION
729.7338 	DATA 	Trial Onset: Article Nr. 77, Headline: Caffeine Linked to Lower Birth Weight Babies, Abstract: Drinking caffeinated beverages while pregnant may raise the risk of having a lower birth weight baby, a new study found. condition Wall
729.7428 	DATA 	Clue Onset
731.3134 	DATA 	Read Onset
741.3177 	DATA 	Within fixation
742.4617 	DATA 	Rate onset
743.4402 	DATA 	Keypress: 2
743.4517 	DATA 	button press: 2
745.4731 	DATA 	Between_FIXATION
747.4863 	DATA 	*****END RUN 2*****
759.8517 	DATA 	Keypress: space
